timestamp,roll,pitch,yaw
580.314587,-91.654453,1.876824,124.038880
580.324588,-91.852633,2.079013,124.329654
580.334589,-92.003029,2.429341,124.669237
580.344590,-92.190854,2.659740,124.936162
580.354591,-92.570440,2.928187,125.219343
580.364592,-92.924189,3.151048,125.493365
580.374592,-93.566825,3.446767,125.723858
580.384592,-94.668232,3.457705,125.753721
580.394592,-96.338621,3.174662,125.747480
580.404592,-98.915023,3.132886,125.957320
580.414594,-102.791995,2.834840,126.014836
580.424594,-108.767537,2.343055,126.005683
580.434595,-117.414806,1.084487,125.673567
580.444596,-129.597488,0.324552,126.108920
580.454597,-144.418829,-1.287618,126.141966
580.464598,-158.920996,-2.037038,126.976852
580.474600,-169.860065,-2.629778,127.429866
580.484600,-176.205921,-2.861699,127.769362
580.494602,-179.342567,-2.996355,127.909095
580.504603,179.173100,-2.749422,128.073559
580.514605,178.371518,-2.999642,128.077302
580.524605,178.078752,-3.032923,128.090869
580.534607,177.938883,-3.141314,128.090983
580.544607,177.969390,-3.039830,128.091071
580.554607,177.843255,-3.060514,128.101065
580.564609,177.962828,-3.105927,128.104430
580.574611,177.748548,-3.128420,128.123448
580.584612,177.763687,-2.989879,128.115345
580.594614,177.847660,-3.025780,128.122660
580.604614,177.889239,-2.878706,128.121444
580.614614,177.869864,-2.833995,128.124283
580.624615,177.821291,-2.974719,128.143134
580.634617,177.748592,-3.102036,128.160863
580.644618,177.813731,-3.183321,128.170230
580.654618,177.751684,-2.891906,128.129072
580.664618,177.764234,-3.060606,128.153229
580.674618,177.728539,-3.052493,128.158310
580.684619,177.705413,-3.049812,128.161856
580.694620,177.935293,-3.081595,128.161383
580.704621,177.931457,-3.140008,128.174691
580.714622,177.963250,-3.145056,128.176804
580.724623,178.079325,-2.973065,128.140032
580.734624,177.934487,-3.160504,128.183335
580.744625,177.853368,-3.183031,128.193577
580.754625,177.972607,-3.180728,128.186092
580.764627,177.880912,-3.044156,128.170226
580.774628,177.876349,-3.091855,128.186242
580.784628,177.918819,-2.985613,128.179523
580.794628,177.949624,-2.959423,128.184434
580.804630,177.900433,-2.958260,128.196755
580.814631,177.882158,-2.946806,128.202673
580.824631,177.962916,-2.989053,128.217913
580.834633,177.927111,-3.004294,128.230572
580.844633,177.911352,-3.053604,128.241174
580.854633,177.951685,-3.075679,128.248859
580.864635,177.886134,-3.005739,128.233862
580.874635,177.963651,-2.998718,128.237631
580.884637,177.943363,-2.906437,128.226523
580.894638,177.884158,-2.916688,128.233788
580.904639,177.914245,-2.939321,128.246234
580.914641,177.965440,-3.075808,128.265369
580.924641,178.088561,-3.174328,128.286305
580.934643,178.116242,-3.032679,128.242758
580.944643,178.014922,-3.022743,128.236447
580.954643,177.997334,-3.134731,128.270976
580.964643,177.978803,-2.958129,128.233384
580.974645,177.783825,-2.976488,128.234339
580.984645,177.913466,-3.052717,128.259532
580.994647,178.039971,-3.070459,128.257827
581.004649,177.878463,-3.167800,128.279550
581.014650,177.999262,-3.184694,128.269280
581.024651,178.019975,-3.118840,128.239012
581.034653,177.837796,-3.162355,128.254745
581.044654,177.991291,-3.072501,128.229162
581.054656,177.948159,-3.150906,128.252729
581.064658,178.099220,-2.947113,128.209780
581.074659,178.266772,-3.020817,128.230861
581.084659,178.140750,-3.185247,128.286384
581.094660,178.097589,-3.214972,128.290613
581.104661,178.055221,-3.105012,128.262398
581.114663,178.081535,-3.108720,128.260174
581.124663,178.103650,-2.997248,128.244604
581.134664,178.063138,-3.036415,128.255168
581.144666,178.133266,-3.004216,128.257821
581.154667,178.161006,-2.999981,128.258813
581.164668,177.998310,-2.945672,128.250424
581.174669,178.100291,-3.031246,128.265029
581.184671,178.115383,-3.035807,128.259695
581.194672,178.065900,-3.062665,128.268755
581.204674,178.141159,-2.968594,128.246540
581.214675,178.182143,-2.920946,128.228494
581.224675,178.216602,-2.974970,128.246565
581.234676,178.167566,-2.960068,128.248549
581.244678,178.158615,-2.982627,128.249375
581.254679,178.209013,-3.058986,128.258708
581.264679,178.138289,-3.064757,128.257182
581.274679,178.073923,-3.018344,128.235833
581.284680,178.074217,-3.136893,128.250116
581.294681,178.058427,-3.139282,128.238694
581.304682,178.075200,-3.180762,128.236352
581.314684,178.024447,-3.095765,128.210939
581.324686,178.097998,-3.200685,128.220249
581.334688,178.062219,-3.060460,128.186911
581.344690,178.041086,-3.147655,128.199012
581.354690,178.028014,-3.091457,128.192135
581.364691,178.018182,-3.129795,128.196985
581.374691,178.103651,-3.039012,128.181727
581.384692,178.120542,-3.005353,128.172004
581.394693,178.090359,-2.991593,128.167994
581.404695,178.046591,-3.191906,128.197026
581.414697,178.211968,-3.233628,128.182889
581.424699,178.154410,-3.187465,128.167819
581.434699,178.150847,-3.085256,128.141029
581.444700,178.093031,-2.997728,128.121729
581.454702,178.191892,-3.074349,128.139927
581.464702,178.272610,-3.009302,128.127108
581.474702,178.231195,-2.959673,128.114648
581.484703,178.104053,-3.045163,128.121202
581.494703,178.182647,-3.174052,128.133873
581.504704,178.143853,-3.005223,128.107794
581.514704,178.290810,-2.972288,128.092171
581.524706,178.397160,-3.071208,128.102153
581.534706,178.492143,-3.056730,128.091508
581.544707,178.484195,-3.035612,128.086101
581.554708,178.441092,-3.025120,128.075037
581.564709,178.435468,-3.063311,128.071167
581.574711,178.392914,-3.173066,128.080343
581.584712,178.537331,-3.291785,128.074676
581.594713,178.500349,-3.319811,128.065517
581.604714,178.316629,-3.254785,128.049230
581.614715,178.442431,-3.227561,128.026505
581.624715,178.218506,-3.118623,128.009894
581.634716,178.234731,-3.067358,127.995389
581.644716,178.227774,-3.227158,128.009932
581.654716,178.447645,-3.270327,128.004864
581.664718,178.409108,-3.141849,127.972256
581.674720,178.372613,-3.156078,127.972695
581.684720,178.323128,-3.065475,127.954882
581.694721,178.264082,-2.967277,127.936890
