timestamp,roll,pitch,yaw
90.129591,-12.032480,3.830491,120.034359
90.139591,-11.435479,3.092118,120.673970
90.149591,-10.442037,2.046000,121.242885
90.159593,-8.767030,0.896966,121.522881
90.169595,-6.427029,-1.204129,122.178291
90.179596,-2.480088,-4.406053,122.174804
90.189597,3.543022,-9.369444,121.875392
90.199597,13.441876,-16.798018,119.522496
90.209597,29.365867,-27.081468,114.212594
90.219598,56.468410,-37.604026,99.450259
90.229599,95.832048,-40.458893,74.634251
90.239599,130.299237,-30.850890,53.820619
90.249600,149.762974,-19.203584,45.371984
90.259600,159.587627,-12.250045,43.056800
90.269600,163.866078,-8.395687,42.165914
90.279600,166.023824,-6.649718,41.993276
90.289600,166.733804,-5.651515,41.936194
90.299602,167.200137,-5.238270,41.989607
90.309604,167.163120,-5.165483,42.090764
90.319604,167.325850,-5.233976,42.174894
90.329604,167.901584,-5.062184,42.236366
90.339606,168.134808,-5.010595,42.375419
90.349607,168.281263,-4.777565,42.543487
90.359609,168.418859,-4.468069,42.702482
90.369609,168.695592,-4.394164,42.800457
90.379610,168.615745,-3.968047,43.037399
90.389612,168.519176,-3.703724,43.237252
90.399613,168.125678,-3.354177,43.486314
90.409615,167.816460,-2.940995,43.688571
90.419616,167.685554,-2.605445,43.808511
90.429617,167.592696,-2.493461,43.870935
90.439618,167.631580,-2.706668,43.879071
90.449620,167.707205,-2.983084,43.945594
90.459620,168.019510,-3.231511,44.016867
90.469620,168.212439,-3.230583,44.234399
90.479620,168.275377,-2.863100,44.551390
90.489621,168.318551,-2.820162,44.756530
90.499623,168.420598,-2.739876,44.963629
90.509625,168.169904,-3.216064,45.129486
90.519627,167.859542,-3.858128,45.308367
90.529627,167.881046,-4.502624,45.403860
90.539628,167.783660,-4.760042,45.765471
90.549630,167.956908,-4.717051,46.098724
90.559630,168.311888,-4.581917,46.393999
90.569631,168.469256,-4.410710,46.762391
90.579631,168.412154,-4.207132,47.161735
90.589631,168.457557,-4.128527,47.458211
90.599632,168.504725,-4.372728,47.692121
90.609634,168.419692,-4.537195,48.071385
90.619635,168.066847,-4.460984,48.640971
90.629637,167.784913,-4.311152,49.141467
90.639638,167.619117,-3.944658,49.652315
90.649639,167.563404,-3.677760,50.031754
90.659640,167.425297,-3.156538,50.510332
90.669640,167.338015,-3.169342,50.701876
90.679641,167.266796,-3.230968,50.936130
90.689643,167.421736,-3.345533,51.140111
90.699645,167.718606,-3.445513,51.370941
90.709645,167.836134,-3.658310,51.710000
90.719647,167.693980,-3.845015,52.188029
90.729647,167.820930,-4.078359,52.514394
90.739647,167.695987,-4.259505,53.017271
90.749648,167.685008,-4.479127,53.437471
90.759650,167.703895,-4.488592,53.930747
90.769651,167.916129,-4.562830,54.298264
90.779652,167.768550,-4.493258,54.877323
90.789654,167.825969,-4.328763,55.351928
90.799655,168.174011,-4.196949,55.712403
90.809655,168.288032,-4.200067,56.169634
90.819657,168.419254,-4.311525,56.596052
90.829657,168.750763,-4.397642,56.954267
90.839657,168.902231,-4.494779,57.425344
90.849657,168.896310,-4.304591,58.048850
90.859659,169.063079,-3.860084,58.648487
90.869659,169.026510,-3.121551,59.332191
90.879659,168.859254,-2.354953,59.923497
90.889660,168.597084,-1.686388,60.389992
90.899661,168.369252,-0.868622,60.875888
90.909661,168.409607,-0.190987,61.241633
90.919661,168.339908,-0.021807,61.386705
90.929662,168.224421,0.119700,61.605715
90.939663,168.245612,-0.319657,61.632242
90.949664,168.339841,-1.001387,61.716141
90.959665,168.233201,-1.296674,62.177642
90.969667,168.024713,-2.089555,62.457003
90.979669,168.015285,-2.534574,62.831745
90.989669,168.115329,-3.142565,63.098456
90.999670,167.808788,-3.768095,63.668610
91.009671,167.341535,-4.506651,64.222645
91.019672,167.121208,-5.209117,64.592032
91.029674,167.235046,-5.328638,65.062930
91.039674,167.471001,-5.412867,65.475893
91.049674,167.589789,-5.533424,65.973574
91.059674,167.852411,-5.490768,66.481510
91.069674,167.991026,-5.569209,67.027000
91.079674,168.161957,-5.672144,67.563286
91.089675,167.606842,-5.343001,68.454195
91.099676,168.034912,-5.561826,68.671544
91.109678,168.054110,-5.169743,69.361553
91.119678,168.145686,-5.074939,69.862372
91.129680,168.260153,-4.830598,70.422968
91.139681,167.993050,-4.346258,71.105621
91.149682,167.813114,-3.893450,71.659779
91.159682,167.712866,-3.665654,72.066206
91.169683,167.346134,-3.467652,72.496276
91.179683,167.265786,-3.892244,72.573366
91.189684,167.343616,-4.582480,72.648550
91.199686,167.322870,-5.154472,72.970503
91.209687,167.578238,-6.001693,73.102863
91.219689,167.736281,-6.071173,73.703343
91.229690,167.994398,-5.798484,74.290707
91.239692,168.153021,-5.300682,74.914235
91.249693,168.387963,-4.718508,75.446460
91.259694,168.497140,-4.220551,75.912483
91.269696,168.581654,-3.826420,76.326005
91.279698,168.524818,-3.682989,76.678602
91.289700,168.436470,-3.454600,77.106796
91.299700,168.398830,-2.956277,77.612915
91.309702,168.208975,-2.660304,78.008153
91.319704,167.663210,-2.789072,78.271769
91.329705,167.063247,-3.009986,78.563785
91.339705,166.862601,-3.540564,78.639558
